date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,season
"Nov 21, 2004",SEA (9-2),PHO (8-2) T2,SAS (8-2) T2,DAL (8-3),UTA (7-3),MIN (5-3),SAC (6-4),LAL (6-5),HOU (6-6) T9,DEN (5-5) T9,LAC (5-6),POR (4-5),MEM (4-6),GSW (2-8),NOH (0-8),2005
"Nov 22, 2004",PHO (9-2) T1,SEA (9-2) T1,SAS (8-3),DAL (8-4) T4,MIN (6-3) T4,UTA (7-4),SAC (6-4),LAL (6-5),HOU (6-6) T9,DEN (5-5) T9,LAC (5-6) T11,MEM (5-6) T11,POR (4-5),GSW (2-8),NOH (1-8),2005
"Nov 23, 2004",SEA (10-2),PHO (9-2),SAS (8-3),DAL (8-4),SAC (7-4) T5,UTA (7-4) T5,MIN (6-4),LAL (7-5),DEN (6-5),POR (5-5),HOU (6-7),LAC (5-6) T12,MEM (5-6) T12,GSW (3-8),NOH (1-9),2005
"Nov 24, 2004",SEA (11-2),PHO (10-2),SAS (9-3),SAC (7-4),DAL (8-5),MIN (6-4),LAL (7-5) T7,UTA (7-5) T7,DEN (6-5) T9,POR (6-5) T9,HOU (6-7),LAC (5-6),MEM (5-7),GSW (3-8),NOH (1-9),2005
"Nov 25, 2004",SEA (11-2),PHO (10-2),SAS (9-3),SAC (7-4),DAL (8-5),LAL (7-5) T6,UTA (7-5) T6,DEN (6-5) T8,MIN (6-5) T8,POR (6-5) T8,LAC (6-6),HOU (6-7),MEM (5-7),GSW (3-8),NOH (1-9),2005
"Nov 26, 2004",SEA (12-2),PHO (11-2),SAS (10-3),SAC (8-4),DAL (9-5),UTA (8-5),MIN (7-5),LAC (7-6) T8,LAL (7-6) T8,DEN (6-6) T10,POR (6-6) T10,HOU (6-8),MEM (5-8),GSW (3-9),NOH (1-10),2005
"Nov 27, 2004",SEA (12-2),PHO (11-2),SAS (11-3),DAL (10-5) T4,SAC (8-4) T4,MIN (7-5),UTA (8-6),DEN (7-6) T8,LAC (7-6) T8,LAL (7-6) T8,POR (6-6),HOU (6-9),MEM (5-9),GSW (3-9),NOH (1-10),2005
"Nov 28, 2004",SEA (13-2),PHO (11-2),SAS (11-3),DAL (10-5),MIN (8-5) T5,SAC (8-5) T5,LAC (8-6) T7,LAL (8-6) T7,UTA (8-6) T7,DEN (7-6) T10,POR (7-6) T10,HOU (6-9),MEM (5-9),GSW (3-10),NOH (1-11),2005
"Nov 29, 2004",SEA (13-2),PHO (11-2),SAS (11-3),DAL (10-5),MIN (8-5) T5,SAC (8-5) T5,LAC (9-6),DEN (8-6) T8,LAL (8-6) T8,UTA (8-6) T8,POR (7-6),HOU (6-9),MEM (5-9),GSW (3-10),NOH (1-12),2005
"Nov 30, 2004",PHO (12-2),SEA (13-3),SAS (12-3),SAC (9-5),DAL (10-6),MIN (8-5),LAC (9-6) T7,LAL (9-6) T7,DEN (8-6) T9,POR (8-6) T9,UTA (8-7),HOU (6-10),MEM (5-10),GSW (3-10),NOH (1-12),2005
"Dec 1, 2004",PHO (13-2),SEA (14-3),SAS (13-3),SAC (10-5),MIN (9-5),DAL (10-6) T6,LAC (10-6) T6,DEN (8-6) T8,POR (8-6) T8,LAL (9-7),UTA (8-8),HOU (6-10),MEM (5-11),GSW (3-11),NOH (1-13),2005
"Dec 2, 2004",PHO (13-2),SEA (14-3),SAS (13-3),SAC (10-5),DAL (11-6),MIN (9-5),LAC (10-6),POR (8-6),LAL (9-7),DEN (8-7),UTA (8-8),HOU (6-11),MEM (5-11),GSW (3-11),NOH (1-13),2005
"Dec 3, 2004",SAS (14-3) T1,SEA (14-3) T1,PHO (13-3),SAC (11-5),MIN (10-5),DAL (11-6),LAC (10-6),LAL (10-7),POR (8-6),DEN (8-7),UTA (8-8),HOU (6-11) T12,MEM (6-11) T12,GSW (3-12),NOH (1-13),2005
"Dec 4, 2004",SAS (15-3) T1,SEA (15-3) T1,PHO (13-3),MIN (11-5) T4,SAC (11-5) T4,DAL (12-6),LAC (10-7) T7,LAL (10-7) T7,DEN (9-7),POR (8-7),UTA (8-9),HOU (7-11),MEM (6-12),GSW (4-12),NOH (1-14),2005
"Dec 5, 2004",SAS (15-3) T1,SEA (15-3) T1,PHO (14-3),SAC (12-5),MIN (11-5),DAL (12-6),LAC (10-7) T7,LAL (10-7) T7,DEN (9-7),POR (8-8),UTA (8-9),HOU (7-11),MEM (6-12),GSW (4-12),NOH (1-14),2005
"Dec 6, 2004",SAS (16-3),SEA (15-3),PHO (14-3),SAC (12-5),MIN (11-5),DAL (12-7),LAC (11-7),DEN (10-7) T8,LAL (10-7) T8,POR (8-8),UTA (8-10),HOU (7-11),MEM (6-12),GSW (5-12),NOH (1-14),2005
"Dec 7, 2004",SAS (16-3),PHO (15-3) T2,SEA (15-3) T2,SAC (13-5),DAL (13-7),MIN (11-6),LAC (11-7),DEN (10-7) T8,LAL (10-7) T8,POR (8-8),UTA (8-10),HOU (8-11),MEM (7-12),GSW (5-13),NOH (1-15),2005
"Dec 8, 2004",PHO (16-3) T1,SEA (16-3) T1,SAS (16-4),SAC (13-5),MIN (12-6),DAL (13-7),DEN (11-7) T7,LAC (11-7) T7,LAL (10-8),POR (8-8),HOU (8-11) T11,UTA (8-11) T11,MEM (8-12),GSW (5-13),NOH (1-16),2005
"Dec 9, 2004",SEA (17-3),PHO (16-3),SAS (16-5),SAC (13-5),MIN (12-6),DAL (13-8),DEN (11-7) T7,LAC (11-7) T7,LAL (10-8),POR (9-8),HOU (9-11),UTA (8-11),MEM (8-12),GSW (5-13),NOH (1-16),2005
"Dec 10, 2004",PHO (17-3) T1,SEA (17-3) T1,SAS (16-5),MIN (13-6) T4,SAC (13-6) T4,DEN (12-7),DAL (13-8),LAC (11-7),LAL (10-8),POR (9-9),HOU (9-11) T11,UTA (9-11) T11,MEM (8-13),GSW (5-14),NOH (1-17),2005
"Dec 11, 2004",PHO (17-3),SEA (17-4),SAS (17-5),SAC (14-6),MIN (13-7),DAL (14-8),DEN (12-7),LAC (11-8) T8,LAL (11-8) T8,POR (9-9),UTA (9-11),HOU (9-12),MEM (9-13),GSW (5-14),NOH (1-17),2005
"Dec 12, 2004",PHO (17-3),SEA (17-4),SAS (17-5),SAC (14-6),MIN (13-7),DAL (14-8),DEN (12-8) T7,LAL (12-8) T7,LAC (11-8),POR (10-9),HOU (9-12) T11,UTA (9-12) T11,MEM (9-13),GSW (6-14),NOH (1-18),2005
"Dec 13, 2004",PHO (18-3),SEA (17-4),SAS (17-5),SAC (14-6),DAL (15-8),MIN (13-7),DEN (12-8) T7,LAL (12-8) T7,LAC (11-9),POR (10-9),HOU (9-12) T11,UTA (9-12) T11,MEM (9-14),GSW (6-14),NOH (1-18),2005
"Dec 14, 2004",PHO (18-3),SEA (18-4),SAS (17-5),SAC (15-6),MIN (14-7),DAL (15-9),DEN (12-9) T7,LAL (12-9) T7,LAC (11-10),POR (10-10),UTA (10-12),HOU (9-12),MEM (9-14),GSW (7-14),NOH (1-19),2005
"Dec 15, 2004",PHO (19-3),SEA (18-4),SAS (18-5),SAC (15-6),MIN (14-8),DAL (15-9),DEN (13-9),LAL (12-9),LAC (11-10),POR (10-11),HOU (10-12),UTA (10-13),MEM (9-15),GSW (7-15),NOH (2-19),2005
"Dec 16, 2004",PHO (19-3),SEA (18-4),SAS (18-5),SAC (15-7),MIN (14-8),DAL (15-9),DEN (13-9) T7,LAL (13-9) T7,LAC (11-10),POR (10-11),HOU (10-12),UTA (10-13),MEM (9-15),GSW (7-15),NOH (2-19),2005
"Dec 17, 2004",PHO (20-3),SAS (19-5),SEA (18-5),SAC (15-7),MIN (15-8),DAL (15-9),DEN (13-10) T7,LAL (13-10) T7,LAC (11-11) T9,POR (11-11) T9,HOU (11-12),UTA (10-14),MEM (10-15),GSW (7-16),NOH (2-20),2005
"Dec 18, 2004",PHO (21-3),SAS (20-5),SEA (18-5),SAC (15-7),MIN (15-8),DAL (16-9),LAL (13-10),DEN (13-11),POR (12-11),LAC (11-11),HOU (11-13),UTA (10-14),MEM (10-15),GSW (7-17),NOH (2-20),2005
"Dec 19, 2004",PHO (21-3),SAS (20-5),SEA (18-5),SAC (16-7),MIN (15-8),DAL (16-9),LAL (13-10),DEN (13-11),POR (12-11),LAC (11-12),HOU (11-13),MEM (11-15),UTA (10-15),GSW (7-17),NOH (2-21),2005
"Dec 20, 2004",PHO (22-3),SAS (20-5),SEA (18-5),SAC (16-7),MIN (15-8),DAL (16-9),LAL (13-11),DEN (13-12),POR (12-12),HOU (12-13),LAC (11-12),MEM (12-15),UTA (11-15),GSW (7-18),NOH (2-21),2005
"Dec 21, 2004",PHO (22-3),SAS (20-5),SEA (18-5),SAC (17-7),DAL (17-9),MIN (15-9),LAL (13-11),DEN (13-12),LAC (12-12) T9,POR (12-12) T9,HOU (12-13),MEM (12-15),UTA (11-15),GSW (7-18),NOH (2-22),2005
"Dec 22, 2004",PHO (22-3),SEA (19-5),SAS (20-6),SAC (17-7),DAL (17-10),MIN (15-9),LAL (14-11),POR (13-12),DEN (13-13) T9,LAC (12-12) T9,HOU (12-14),MEM (12-16),UTA (11-16),GSW (8-18),NOH (2-23),2005
"Dec 23, 2004",PHO (23-3),SEA (19-5),SAS (21-6),SAC (17-8),DAL (17-10),MIN (15-10),LAL (14-11),POR (13-12),DEN (13-13) T9,LAC (12-12) T9,HOU (12-14),MEM (12-17),UTA (11-16),GSW (8-18),NOH (2-23),2005
"Dec 25, 2004",PHO (23-3),SEA (19-5),SAS (21-6),SAC (17-8),DAL (17-10),MIN (15-10),LAL (14-12),POR (13-12),DEN (13-13) T9,LAC (12-12) T9,HOU (12-14),MEM (12-17),UTA (11-16),GSW (8-18),NOH (2-23),2005
"Dec 26, 2004",PHO (24-3),SEA (19-5),SAS (22-6),SAC (17-9),DAL (18-10),MIN (16-10),LAL (14-12),POR (13-12),DEN (13-14) T9,HOU (13-14) T9,LAC (12-13),MEM (12-17),UTA (11-16),GSW (9-18),NOH (2-24),2005
"Dec 27, 2004",PHO (24-3),SEA (20-5),SAS (22-6),SAC (17-9),DAL (18-10),MIN (16-10),LAL (14-12),POR (13-13),HOU (13-14),DEN (13-15),LAC (12-14),MEM (13-17),UTA (11-17),GSW (10-18),NOH (2-25),2005
"Dec 28, 2004",PHO (24-4),SAS (23-6),SEA (20-6),DAL (19-10),SAC (17-9),MIN (16-10),LAL (15-12),POR (13-13),DEN (13-15) T9,HOU (13-15) T9,LAC (12-14),MEM (13-17),UTA (11-17),GSW (10-18),NOH (2-25),2005
"Dec 29, 2004",PHO (25-4),SAS (23-6),SEA (20-6),DAL (19-10),SAC (17-9),MIN (16-11),LAL (15-12),POR (13-13),HOU (14-15),LAC (13-14),DEN (13-15),MEM (14-17),GSW (11-18) T13,UTA (11-18) T13,NOH (2-26),2005
"Dec 30, 2004",PHO (25-4),SAS (24-6),SEA (21-6),DAL (19-10),SAC (17-9),MIN (16-11),LAL (15-12),HOU (14-15),LAC (13-14) T9,POR (13-14) T9,DEN (13-15),MEM (14-17),GSW (11-18) T13,UTA (11-18) T13,NOH (2-26),2005
"Dec 31, 2004",PHO (25-4),SAS (25-6),SEA (22-6),SAC (18-9),DAL (19-10),MIN (16-11),LAL (15-12),HOU (15-15),DEN (14-15),POR (13-14),LAC (13-15),MEM (14-17),GSW (11-18),UTA (11-19),NOH (2-26),2005
"Jan 1, 2005",PHO (25-4),SAS (25-6),SEA (22-6),SAC (18-9),DAL (19-10),MIN (16-12),LAL (15-12),HOU (15-15) T8,POR (14-14) T8,DEN (14-15),MEM (15-17),LAC (13-15),GSW (11-19) T13,UTA (11-19) T13,NOH (2-26),2005
"Jan 2, 2005",PHO (26-4),SEA (22-6),SAS (25-7),SAC (19-9),DAL (20-10),LAL (16-12) T6,MIN (16-12) T6,HOU (16-15),LAC (14-15) T9,POR (14-15) T9,MEM (15-17),DEN (14-16),GSW (11-19),UTA (11-20),NOH (2-26),2005
"Jan 3, 2005",PHO (26-4),SEA (23-6),SAS (25-7),SAC (19-9),DAL (20-10),LAL (16-12) T6,MIN (16-12) T6,HOU (16-15),LAC (15-15),MEM (16-17),POR (14-15),DEN (14-17),GSW (11-20),UTA (11-21),NOH (2-27),2005
"Jan 4, 2005",PHO (27-4),SEA (23-6),SAS (26-7),SAC (20-9),DAL (20-10),LAL (16-13) T6,MIN (16-13) T6,HOU (16-15),LAC (15-15),MEM (16-17),POR (14-15),DEN (14-17),GSW (11-20),UTA (11-21),NOH (2-27),2005
"Jan 5, 2005",PHO (28-4),SAS (26-7),SEA (23-7),DAL (21-10),SAC (20-10),LAL (16-14) T6,MIN (16-14) T6,LAC (16-15),HOU (16-16),MEM (16-17),POR (14-16),DEN (14-17),GSW (11-21),UTA (11-22),NOH (2-28),2005
"Jan 6, 2005",PHO (28-4),SAS (27-7),SEA (23-8),DAL (21-10),SAC (20-10),LAL (16-14) T6,MIN (16-14) T6,LAC (16-15),MEM (17-17) T9,HOU (16-16) T9,POR (14-16),DEN (14-17),GSW (11-21),UTA (11-22),NOH (2-28),2005
"Jan 7, 2005",PHO (28-4),SAS (27-7),SEA (23-8),DAL (21-10) T4,SAC (21-10) T4,LAL (17-14) T6,MIN (17-14) T6,LAC (16-15),MEM (18-17),HOU (16-17),DEN (14-17) T11,POR (14-17) T11,GSW (11-22),UTA (11-23),NOH (2-29),2005
"Jan 8, 2005",PHO (29-4),SAS (28-7),SEA (23-8),DAL (22-10),SAC (21-11),LAL (17-14),MIN (17-15),MEM (18-17),LAC (16-16),HOU (16-17),POR (14-17),DEN (14-18),GSW (11-22),UTA (11-24),NOH (3-29),2005
"Jan 9, 2005",PHO (30-4),SAS (28-7),SEA (24-8),DAL (22-10),SAC (21-11),LAL (17-14),MIN (17-15),MEM (18-17),HOU (17-17) T9,LAC (16-16) T9,POR (14-18),DEN (14-19),GSW (11-23),UTA (11-24),NOH (3-29),2005
"Jan 10, 2005",PHO (30-4),SAS (28-8),SEA (24-8),DAL (22-10),SAC (21-11),LAL (18-14),MIN (17-16),MEM (18-17),HOU (17-17) T9,LAC (16-16) T9,POR (15-18),DEN (14-19),UTA (12-24),GSW (11-24),NOH (3-29),2005
"Jan 11, 2005",PHO (31-4),SAS (28-8),SEA (25-8),DAL (22-10),SAC (22-11),LAL (18-14),MIN (17-16),MEM (18-18) T8,HOU (17-17) T8,LAC (16-17),POR (15-18),DEN (14-20),UTA (12-24),GSW (11-24),NOH (4-29),2005
"Jan 12, 2005",PHO (31-5),SAS (29-8),SEA (25-9),DAL (22-11) T4,SAC (22-11) T4,LAL (18-15),HOU (18-17),MEM (18-18) T8,LAC (17-17) T8,MIN (17-17) T8,POR (15-19),DEN (15-20),UTA (13-24),GSW (11-25),NOH (4-30),2005
"Jan 13, 2005",PHO (31-5),SAS (29-8),SEA (25-9),SAC (23-11),DAL (22-11),LAL (19-15),HOU (19-17),MEM (18-18) T8,LAC (17-17) T8,MIN (17-17) T8,POR (15-19),DEN (15-20),UTA (13-25),GSW (11-25),NOH (4-30),2005
"Jan 14, 2005",PHO (31-6),SAS (30-8),SEA (26-9),SAC (23-11),DAL (22-12),LAL (19-15),HOU (19-17),LAC (18-17) T8,MIN (18-17) T8,MEM (19-18),POR (15-20),DEN (15-21),UTA (13-25),GSW (11-26),NOH (5-30),2005
"Jan 15, 2005",PHO (31-7),SAS (30-9),SEA (26-9),SAC (24-11),DAL (23-12),LAL (20-15),HOU (20-17),MIN (19-17),MEM (20-18),LAC (18-18),DEN (15-21) T11,POR (15-21) T11,UTA (13-26),GSW (11-27),NOH (5-30),2005
"Jan 16, 2005",PHO (31-7),SAS (30-9),SEA (27-9),SAC (24-11),DAL (23-12),LAL (20-15),HOU (20-17),MIN (19-17),MEM (20-18),LAC (18-18),DEN (15-21) T11,POR (15-21) T11,UTA (13-26),GSW (11-27),NOH (5-31),2005
"Jan 17, 2005",PHO (31-8),SAS (31-9),SEA (27-9),SAC (25-11),DAL (23-12),LAL (20-16),MEM (21-18),HOU (20-18),MIN (19-18),LAC (18-19),POR (15-21),DEN (15-22),UTA (14-26),GSW (12-27),NOH (5-32),2005
"Jan 18, 2005",PHO (31-8),SAS (31-9),SEA (27-10),SAC (26-11),DAL (24-12),LAL (20-16),MEM (21-18),MIN (19-18),HOU (20-19),LAC (18-19),DEN (16-22),POR (15-22),UTA (14-26),GSW (12-27),NOH (5-32),2005
"Jan 19, 2005",SAS (32-9),PHO (31-9),SEA (27-10),SAC (26-11),DAL (24-12),LAL (21-16),MEM (22-18),HOU (20-19),MIN (19-19),LAC (18-20),DEN (16-22),POR (15-23),UTA (14-26),GSW (12-27),NOH (6-32),2005
"Jan 20, 2005",SAS (32-9),PHO (31-9),SEA (27-10),SAC (27-11),DAL (25-12),LAL (21-16),MEM (22-18),HOU (21-19),MIN (19-19),LAC (18-21),DEN (16-22),POR (15-23),UTA (14-26),GSW (12-27),NOH (6-32),2005
"Jan 21, 2005",SAS (33-9),PHO (31-10),SAC (27-11) T3,SEA (27-11) T3,DAL (26-12),LAL (22-16),HOU (22-19) T7,MEM (22-19) T7,MIN (20-19),LAC (18-21),DEN (17-22),POR (15-23),UTA (14-26),GSW (12-28),NOH (6-32),2005
"Jan 22, 2005",SAS (33-9),PHO (31-10),SAC (27-11) T3,SEA (27-11) T3,DAL (26-12),LAL (22-16),MEM (23-19),HOU (22-19),MIN (21-19),LAC (18-22),DEN (17-22),POR (15-24),UTA (14-27),GSW (12-29),NOH (7-32),2005
"Jan 23, 2005",SAS (34-9),PHO (32-10),SEA (28-11),DAL (27-12) T4,SAC (27-12) T4,LAL (22-16),MEM (23-19),HOU (22-19),MIN (21-19),LAC (18-22),DEN (17-23),POR (15-24),UTA (14-28),GSW (12-29),NOH (7-33),2005
"Jan 24, 2005",SAS (34-10),PHO (32-10),SEA (28-11),SAC (27-12),DAL (27-13),LAL (22-16),HOU (23-19) T7,MEM (23-19) T7,MIN (22-19),LAC (19-22),DEN (17-23),POR (16-24),UTA (14-28),GSW (12-29),NOH (7-33),2005
"Jan 25, 2005",SAS (34-10),PHO (33-10),SEA (29-11),SAC (28-12),DAL (27-13),LAL (22-17),MEM (24-19),HOU (23-19),MIN (22-19),LAC (19-22),DEN (17-24),POR (16-24),UTA (14-28),GSW (12-29),NOH (7-33),2005
"Jan 26, 2005",PHO (34-10) T1,SAS (34-10) T1,SEA (29-12),SAC (28-12),DAL (28-13),HOU (24-19),LAL (22-18),MIN (23-19),MEM (24-20),LAC (20-22),DEN (17-25),POR (16-25),UTA (15-28),GSW (12-30),NOH (7-34),2005
"Jan 27, 2005",SAS (35-10),PHO (34-10),SEA (29-12),DAL (28-13) T4,SAC (28-13) T4,HOU (24-19),LAL (22-18),MIN (23-19),MEM (24-20),LAC (20-22),DEN (17-25),POR (16-25),UTA (15-28),GSW (12-30),NOH (7-34),2005
"Jan 28, 2005",PHO (35-10) T1,SAS (35-10) T1,SEA (30-12),SAC (29-13),DAL (28-13),MIN (24-19),HOU (24-20) T7,MEM (24-20) T7,LAL (22-19),LAC (20-23),DEN (18-25),POR (17-25),UTA (15-29),GSW (12-31),NOH (8-34),2005
"Jan 29, 2005",SAS (36-10),PHO (35-10),SEA (30-12),SAC (29-13),DAL (28-14),MIN (24-19),MEM (25-20),HOU (24-20),LAL (22-19),LAC (21-23),DEN (19-25),POR (17-25),UTA (15-30),GSW (12-32),NOH (8-35),2005
"Jan 30, 2005",PHO (36-10) T1,SAS (36-10) T1,SEA (30-12),SAC (30-13),DAL (28-14),MEM (25-20),LAL (23-19),MIN (24-20),HOU (24-21),LAC (21-23),DEN (19-25),POR (17-25),UTA (15-30),GSW (12-32),NOH (8-35),2005
"Jan 31, 2005",SAS (37-10),PHO (36-10),SAC (30-13) T3,SEA (30-13) T3,DAL (28-14),MEM (26-20),LAL (23-19),MIN (24-20),HOU (25-21),LAC (22-23),DEN (19-25),POR (17-25),UTA (15-30),GSW (12-32),NOH (8-36),2005
"Feb 1, 2005",SAS (37-10),PHO (36-11),SEA (31-13),SAC (30-14),DAL (29-14),MEM (27-20),LAL (24-19),HOU (25-21),MIN (24-21),LAC (22-23),DEN (20-25),POR (17-26),UTA (15-31),GSW (12-32),NOH (8-36),2005
"Feb 2, 2005",SAS (37-10),PHO (37-11),SEA (31-13),SAC (31-14),DAL (30-14),MEM (27-20),LAL (24-19),HOU (26-21),MIN (24-22),LAC (22-23),DEN (20-26),POR (18-26),UTA (15-31),GSW (12-33),NOH (8-37),2005
"Feb 3, 2005",SAS (38-10),PHO (37-11),SEA (31-13),SAC (31-14),DAL (30-14),MEM (27-21),HOU (26-21),LAL (24-20),MIN (24-22),LAC (23-23),DEN (20-26),POR (18-26),UTA (15-31),GSW (12-33),NOH (8-37),2005
"Feb 4, 2005",SAS (38-10),PHO (37-11),SEA (31-13),SAC (32-14),DAL (30-15),HOU (27-21) T6,MEM (27-21) T6,LAL (24-20),MIN (24-23),LAC (23-24),DEN (20-26),POR (19-26),UTA (15-31),GSW (13-33),NOH (8-38),2005
"Feb 5, 2005",SAS (38-10),PHO (38-11),SEA (32-13),SAC (32-15),DAL (30-15),HOU (27-21) T6,MEM (27-21) T6,LAL (24-20),MIN (24-23),LAC (23-24),DEN (21-26),POR (20-26),UTA (16-31),GSW (13-34),NOH (8-39),2005
"Feb 6, 2005",SAS (38-10),PHO (38-11),SEA (32-13),SAC (32-15),DAL (31-15),HOU (28-21),MEM (27-21),LAL (24-21),MIN (24-24),LAC (23-25),DEN (21-26),POR (20-26),UTA (16-31),GSW (13-34),NOH (8-39),2005
"Feb 7, 2005",SAS (38-10),PHO (38-11),SEA (32-13),SAC (32-15),DAL (31-15),HOU (28-21),MEM (27-21),LAL (24-22),MIN (24-24),LAC (23-25),DEN (21-26),POR (20-26),UTA (16-32),GSW (13-35),NOH (8-39),2005
