date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,season
"Nov 15, 2004",IND (5-2) T1,MIA (5-2) T1,BOS (3-2) T3,MIL (3-2) T3,CLE (4-3) T5,ORL (4-3) T5,PHI (4-3) T5,TOR (4-3) T5,DET (3-3),WAS (3-4),NYK (2-3),NJN (2-5),CHA (1-4),ATL (1-5),CHI (0-4),2005
"Nov 16, 2004",IND (5-2),MIA (5-3),BOS (3-2) T3,MIL (3-2) T3,CLE (4-3) T5,ORL (4-3) T5,PHI (4-4) T7,TOR (4-4) T7,DET (3-3) T7,WAS (3-4),NYK (2-4),ATL (2-5) T12,NJN (2-5) T12,CHA (1-5),CHI (0-5),2005
"Nov 17, 2004",IND (6-2),MIA (6-3),ORL (5-3),CLE (4-3) T4,DET (4-3) T4,PHI (4-4) T6,WAS (4-4) T6,BOS (3-3) T6,MIL (3-3) T6,TOR (4-5),NYK (2-4),ATL (2-6) T12,NJN (2-6) T12,CHA (1-5),CHI (0-6),2005
"Nov 18, 2004",IND (6-2),MIA (6-3),CLE (5-3) T3,ORL (5-3) T3,DET (4-3),WAS (4-4) T6,BOS (3-3) T6,MIL (3-3) T6,PHI (4-5) T9,TOR (4-5) T9,NYK (3-4),ATL (2-6) T12,NJN (2-6) T12,CHA (1-6),CHI (0-6),2005
"Nov 19, 2004",IND (7-2),MIA (7-3),CLE (5-3) T3,ORL (5-3) T3,DET (4-4) T5,WAS (4-4) T5,PHI (4-5),BOS (3-4) T8,MIL (3-4) T8,TOR (4-6),NYK (3-5),ATL (2-6) T12,NJN (2-6) T12,CHA (1-6),CHI (0-7),2005
"Nov 20, 2004",IND (7-3) T1,MIA (7-3) T1,CLE (6-3) T3,ORL (6-3) T3,WAS (5-4),DET (4-4),PHI (4-5),BOS (3-4) T8,MIL (3-4) T8,TOR (4-6),NYK (3-5),ATL (2-7) T12,NJN (2-7) T12,CHA (1-7),CHI (0-7),2005
"Nov 21, 2004",MIA (8-3),IND (7-3),ORL (6-3),CLE (6-4),DET (5-4) T5,WAS (5-4) T5,BOS (4-4),TOR (5-6),NYK (4-5),PHI (4-6),MIL (3-5),ATL (2-7) T12,NJN (2-7) T12,CHA (1-8),CHI (0-8),2005
"Nov 22, 2004",MIA (8-3),IND (7-3),ORL (6-3),CLE (6-4),DET (5-4) T5,WAS (5-4) T5,BOS (4-4),TOR (5-6),NYK (4-5),PHI (4-6),MIL (3-5),ATL (2-7) T12,NJN (2-7) T12,CHA (1-8),CHI (0-9),2005
"Nov 23, 2004",IND (8-3),MIA (8-4) T2,ORL (6-3) T2,CLE (6-4) T4,WAS (6-4) T4,DET (5-5) T6,NYK (5-5) T6,BOS (4-5),TOR (5-7),PHI (4-6),MIL (3-6),ATL (2-8) T12,CHA (2-8) T12,NJN (2-8) T12,CHI (0-9),2005
"Nov 24, 2004",IND (8-3),MIA (9-4),CLE (7-4),ORL (6-4) T4,WAS (6-4) T4,TOR (6-7),DET (5-6) T7,NYK (5-6) T7,PHI (5-6) T7,BOS (4-6),MIL (3-7),CHA (2-8) T12,NJN (2-8) T12,ATL (2-9),CHI (1-9),2005
"Nov 25, 2004",IND (9-3),MIA (9-4),CLE (7-4),ORL (6-4) T4,WAS (6-4) T4,TOR (6-7),DET (5-6) T7,NYK (5-6) T7,PHI (5-6) T7,BOS (4-6),MIL (3-7),CHA (2-8),ATL (2-9) T13,NJN (2-9) T13,CHI (1-9),2005
"Nov 26, 2004",IND (10-3),CLE (8-4),MIA (9-5),ORL (7-4),WAS (6-5),DET (6-6) T6,PHI (6-6) T6,TOR (6-7),NYK (5-6),BOS (4-7),MIL (3-7),CHA (2-9),ATL (2-10) T13,NJN (2-10) T13,CHI (1-9),2005
"Nov 27, 2004",IND (10-3),CLE (9-4),ORL (8-4),MIA (9-5),WAS (6-5),NYK (6-6),DET (6-7) T7,PHI (6-7) T7,TOR (6-8),BOS (4-7) T10,MIL (4-7) T10,CHA (3-9),NJN (2-10),ATL (2-11),CHI (1-10),2005
"Nov 28, 2004",IND (10-4),CLE (9-4),MIA (10-5) T3,ORL (8-4) T3,WAS (7-5),NYK (6-6),DET (6-7) T7,PHI (6-7) T7,TOR (6-9),MIL (4-7),BOS (4-8),CHA (3-9),ATL (2-11) T13,NJN (2-11) T13,CHI (1-10),2005
"Nov 29, 2004",IND (10-4),MIA (10-5),CLE (9-5),ORL (8-5),WAS (7-5),NYK (6-6),DET (6-7) T7,PHI (6-7) T7,TOR (6-9),BOS (5-8),MIL (4-7),CHA (3-9),ATL (2-11) T13,NJN (2-11) T13,CHI (1-10),2005
"Nov 30, 2004",IND (10-4),CLE (9-5),MIA (10-6),ORL (8-5),WAS (7-5),NYK (7-6),DET (7-7),PHI (6-7),TOR (7-9),BOS (5-8),MIL (4-8),CHA (3-10),NJN (3-11),ATL (2-12),CHI (1-10),2005
"Dec 1, 2004",IND (10-5),ORL (9-5),MIA (10-6),WAS (8-5),CLE (9-6),NYK (8-6),DET (7-7),BOS (6-8) T8,PHI (6-8) T8,TOR (7-10),MIL (4-9),CHA (3-10),NJN (3-12),CHI (2-10),ATL (2-12),2005
"Dec 2, 2004",IND (10-5),ORL (9-5),CLE (10-6) T3,MIA (10-6) T3,WAS (8-5),NYK (8-6),DET (7-7),BOS (6-8) T8,PHI (6-8) T8,TOR (7-10),MIL (4-9),CHA (3-10),NJN (3-12),CHI (2-10),ATL (2-12),2005
"Dec 3, 2004",ORL (10-5),MIA (11-6),WAS (9-5),CLE (10-6) T4,IND (10-6) T4,NYK (8-7),BOS (7-8) T7,DET (7-8) T7,PHI (6-9),TOR (7-11),MIL (4-9),CHA (3-10),NJN (3-12),CHI (2-11),ATL (2-13),2005
"Dec 4, 2004",ORL (11-5),WAS (10-5),CLE (11-6),MIA (11-7),IND (10-7),DET (8-8) T6,NYK (8-8) T6,BOS (7-8),PHI (6-10),TOR (7-12),CHA (4-10) T11,MIL (4-10) T11,NJN (4-12),CHI (2-12),ATL (2-14),2005
"Dec 5, 2004",ORL (11-5),WAS (10-5),CLE (11-6),MIA (11-7),IND (10-7),DET (8-8) T6,NYK (8-8) T6,BOS (7-9),PHI (6-10),TOR (7-12),CHA (4-10) T11,MIL (4-10) T11,NJN (4-12),CHI (2-12),ATL (2-14),2005
"Dec 6, 2004",WAS (10-5),CLE (11-6) T2,ORL (11-6) T2,MIA (12-7),IND (10-7),DET (9-8),NYK (8-8),BOS (7-10),PHI (6-11),TOR (7-13),NJN (5-12),MIL (4-10),CHA (4-11),ATL (3-14),CHI (2-13),2005
"Dec 7, 2004",CLE (12-6) T1,WAS (10-5) T1,ORL (11-6),MIA (12-7),IND (10-8),DET (9-8),NYK (8-9),BOS (7-10),PHI (6-11),TOR (7-13),MIL (5-10),NJN (5-13),CHA (4-12),ATL (3-14),CHI (2-13),2005
"Dec 8, 2004",ORL (12-6),MIA (13-7),CLE (12-7),WAS (10-6),DET (10-8) T5,IND (10-8) T5,NYK (9-9),BOS (7-10),TOR (7-14) T9,PHI (6-12) T9,MIL (5-11),NJN (5-13),CHA (4-12),CHI (3-13),ATL (3-15),2005
"Dec 9, 2004",ORL (12-6),MIA (13-7),CLE (12-7),WAS (10-6),DET (10-8) T5,IND (10-8) T5,NYK (9-9),BOS (7-11),TOR (7-14) T9,PHI (6-12) T9,MIL (5-11),NJN (5-13),CHA (4-12),CHI (3-13),ATL (3-15),2005
"Dec 10, 2004",ORL (13-6),MIA (14-7),WAS (11-6),CLE (12-7),DET (10-9) T5,IND (10-9) T5,NYK (9-10),BOS (7-11),PHI (7-12),MIL (6-11),TOR (7-15),NJN (6-13),CHA (4-13),ATL (4-15),CHI (3-14),2005
"Dec 11, 2004",ORL (13-6),MIA (14-7),WAS (11-6),CLE (12-8),DET (10-10) T5,IND (10-10) T5,NYK (9-10),BOS (8-11),PHI (7-12),MIL (6-11),NJN (7-13),TOR (7-15),CHA (4-13),CHI (4-14),ATL (4-16),2005
"Dec 12, 2004",MIA (15-7),WAS (12-6),ORL (13-7),CLE (12-8),DET (10-10) T5,IND (10-10) T5,NYK (10-10) T5,BOS (8-11),PHI (8-12),NJN (7-13),MIL (6-12),TOR (7-16),CHA (4-14) T13,CHI (4-14) T13,ATL (4-16),2005
"Dec 13, 2004",MIA (16-7),WAS (12-7),CLE (13-8) T3,ORL (13-8) T3,DET (10-10) T5,IND (10-10) T5,NYK (10-10) T5,BOS (9-11),PHI (8-12),NJN (7-13),MIL (6-12),TOR (7-16),CHA (4-14),CHI (4-15),ATL (4-16),2005
"Dec 14, 2004",MIA (16-7),WAS (12-7),CLE (13-8) T3,ORL (13-8) T3,IND (11-10) T5,NYK (11-10) T5,DET (10-10),BOS (9-11),PHI (9-12),NJN (7-14),MIL (6-13),TOR (7-16),CHA (5-14),CHI (4-15),ATL (4-17),2005
"Dec 15, 2004",MIA (17-7),CLE (14-8),WAS (12-8),ORL (13-9),DET (11-10) T5,IND (11-10) T5,NYK (11-11),BOS (9-12) T8,PHI (9-12) T8,TOR (8-16) T10,NJN (7-14) T10,MIL (6-13),CHA (5-14),CHI (5-15),ATL (4-18),2005
"Dec 16, 2004",MIA (17-7),CLE (14-9),WAS (12-8),ORL (13-9),DET (12-10),IND (11-10),NYK (11-11),BOS (9-12) T8,PHI (9-12) T8,TOR (8-16) T10,NJN (7-14) T10,MIL (6-14),CHI (6-15),CHA (5-14),ATL (4-18),2005
"Dec 17, 2004",MIA (18-7),WAS (13-8),CLE (14-9),ORL (13-9),DET (12-10) T5,IND (12-10) T5,NYK (12-11),BOS (10-12),PHI (9-13),TOR (8-17),NJN (7-15),MIL (6-14),CHI (6-15),CHA (5-14),ATL (4-19),2005
"Dec 18, 2004",MIA (18-7),ORL (14-9),WAS (13-9),CLE (14-10),DET (12-11) T5,IND (12-11) T5,NYK (12-11) T5,BOS (11-12),PHI (10-13),TOR (8-17),CHI (7-15) T11,NJN (7-15) T11,CHA (6-14),MIL (6-15),ATL (4-20),2005
"Dec 19, 2004",MIA (19-7),WAS (13-9),CLE (14-10) T3,ORL (14-10) T3,NYK (13-11),DET (12-11) T6,IND (12-11) T6,BOS (11-12),PHI (10-13),TOR (9-17),CHI (7-15),NJN (7-16),CHA (6-14),MIL (6-15),ATL (4-20),2005
"Dec 20, 2004",MIA (19-7),WAS (14-9),CLE (14-10) T3,ORL (14-10) T3,NYK (13-11),DET (12-11) T6,IND (12-11) T6,BOS (11-12),PHI (10-14),CHI (8-15),TOR (9-18),NJN (7-16),CHA (6-14),MIL (6-15),ATL (4-20),2005
"Dec 21, 2004",MIA (20-7),CLE (15-10),ORL (14-10) T3,WAS (14-10) T3,DET (12-11) T5,IND (12-11) T5,NYK (13-12),BOS (11-13),PHI (10-14),CHI (8-15),TOR (9-18) T11,NJN (8-16) T11,CHA (6-15) T13,MIL (6-15) T13,ATL (4-20),2005
"Dec 22, 2004",MIA (20-7),ORL (15-10),WAS (14-10),CLE (15-11),NYK (13-13) T5,DET (12-12) T5,IND (12-12) T5,BOS (12-13),PHI (11-14),CHI (9-15),NJN (9-16),TOR (10-18),CHA (7-15),MIL (6-16),ATL (5-20),2005
"Dec 23, 2004",MIA (21-7),ORL (15-10),WAS (14-10),CLE (15-11),NYK (13-13) T5,DET (12-12) T5,IND (12-12) T5,BOS (12-13),PHI (11-14),CHI (9-15),NJN (9-16),TOR (10-18),CHA (7-15),MIL (6-16),ATL (5-20),2005
"Dec 25, 2004",MIA (22-7),ORL (15-10),WAS (14-10),CLE (15-11),DET (13-12),NYK (13-13),BOS (12-13) T7,IND (12-13) T7,PHI (11-14),CHI (9-15),NJN (9-16),TOR (10-18),CHA (7-15),MIL (6-16),ATL (5-20),2005
"Dec 26, 2004",MIA (22-7),ORL (15-10),CLE (16-11),WAS (14-11),DET (13-12),NYK (14-13),IND (12-13),BOS (12-14),PHI (11-14),CHI (9-16) T10,NJN (9-16) T10,TOR (10-19),CHA (7-16) T13,MIL (7-16) T13,ATL (5-20),2005
"Dec 27, 2004",MIA (23-7),CLE (16-11),ORL (15-11) T3,WAS (15-11) T3,DET (14-12),NYK (15-13),IND (13-13),BOS (12-14) T8,PHI (12-14) T8,CHI (9-16),NJN (9-17),TOR (10-19),MIL (7-16),CHA (7-17),ATL (5-21),2005
"Dec 28, 2004",MIA (23-7),CLE (17-11),ORL (15-11) T3,WAS (15-11) T3,DET (14-12),NYK (15-13),IND (13-13),PHI (13-14),BOS (12-15),NJN (10-17),CHI (9-17),TOR (10-20) T12,MIL (8-16) T12,CHA (7-17),ATL (5-22),2005
"Dec 29, 2004",MIA (23-7),CLE (17-12),DET (15-12) T3,ORL (15-12) T3,WAS (15-12) T3,NYK (16-13),IND (14-13),PHI (13-14),BOS (12-16),NJN (10-17),MIL (9-16),CHI (9-17),TOR (10-21),CHA (7-18),ATL (5-22),2005
"Dec 30, 2004",MIA (24-7),CLE (17-12),ORL (15-12) T3,WAS (15-12) T3,NYK (16-13),DET (15-13) T6,IND (15-13) T6,PHI (13-14),BOS (12-16),MIL (9-16),NJN (10-18),CHI (9-17),TOR (10-21),CHA (7-18),ATL (5-23),2005
"Dec 31, 2004",MIA (24-7),CLE (17-12),ORL (15-12),NYK (16-13),DET (15-13) T5,IND (15-13) T5,WAS (15-13) T5,PHI (13-15),BOS (13-16),NJN (10-18),CHI (9-17) T11,MIL (9-17) T11,TOR (10-21),CHA (7-19),ATL (5-23),2005
"Jan 1, 2005",MIA (25-7),CLE (17-12),DET (15-13) T3,IND (15-13) T3,ORL (15-13) T3,WAS (15-13) T3,NYK (16-14),PHI (13-15),BOS (13-16),NJN (11-18),CHI (10-17),MIL (9-17),TOR (10-21),CHA (7-20),ATL (5-23),2005
"Jan 2, 2005",MIA (25-7),CLE (17-12),DET (16-13) T3,WAS (16-13) T3,IND (15-13) T5,ORL (15-13) T5,NYK (16-14),PHI (13-16),BOS (13-17),NJN (11-18),CHI (10-17),MIL (9-18),TOR (10-21),CHA (7-20),ATL (5-24),2005
"Jan 3, 2005",MIA (25-8),CLE (18-12),DET (17-13),WAS (16-13),IND (15-13),NYK (16-14),ORL (15-14),PHI (14-16),BOS (14-17),NJN (11-18),CHI (10-18),TOR (11-21),MIL (9-18),CHA (7-21),ATL (5-24),2005
"Jan 4, 2005",MIA (25-8),CLE (18-12),DET (17-13) T3,WAS (17-13) T3,IND (16-13),ORL (15-14),NYK (16-15),PHI (14-16),BOS (14-17),NJN (11-19),CHI (10-18),TOR (11-21),MIL (9-19),CHA (7-21),ATL (5-24),2005
"Jan 5, 2005",MIA (26-8),CLE (19-12),DET (17-13) T3,WAS (17-13) T3,IND (16-13),ORL (16-14),NYK (16-16),PHI (15-16),BOS (15-17),CHI (11-18),TOR (12-21),NJN (11-20),MIL (10-19),CHA (8-21),ATL (5-25),2005
"Jan 6, 2005",MIA (26-8),CLE (19-12),WAS (18-13),DET (17-14),IND (16-14) T5,ORL (16-14) T5,NYK (16-16),PHI (15-16),BOS (15-17),CHI (11-18),TOR (12-21),NJN (11-20),MIL (10-19),CHA (8-21),ATL (5-25),2005
"Jan 7, 2005",MIA (27-8),CLE (19-12),WAS (18-13),DET (18-14),ORL (17-14),IND (16-14),NYK (16-16),PHI (15-17),BOS (15-18),CHI (12-18),NJN (12-20),MIL (11-19),TOR (12-22),CHA (8-22),ATL (5-26),2005
"Jan 8, 2005",MIA (27-8),CLE (20-12),WAS (19-13),DET (18-14) T4,ORL (18-14) T4,IND (16-15),NYK (16-17),PHI (15-17),BOS (15-19),CHI (13-18),MIL (12-19),NJN (12-21),TOR (12-22),CHA (8-22),ATL (5-26),2005
"Jan 9, 2005",MIA (27-9),CLE (20-12),WAS (19-13),DET (18-14) T4,ORL (18-14) T4,NYK (17-17) T6,IND (16-16) T6,PHI (15-17),BOS (15-19),CHI (13-18),MIL (12-19),TOR (13-22),NJN (12-21),CHA (8-22),ATL (5-26),2005
"Jan 10, 2005",MIA (27-9),CLE (20-12),WAS (19-13),DET (18-14),ORL (18-15),NYK (17-17) T6,IND (16-16) T6,BOS (16-19),PHI (15-18),CHI (14-18),MIL (12-19),TOR (13-22),NJN (12-21),CHA (8-22),ATL (5-26),2005
"Jan 11, 2005",MIA (27-10),CLE (21-12),WAS (19-13),DET (19-14),ORL (18-15),IND (17-16),NYK (17-18),BOS (16-19),PHI (15-18),CHI (14-18),MIL (12-20),TOR (13-22),NJN (12-22),CHA (8-23),ATL (6-26),2005
"Jan 12, 2005",MIA (28-10),CLE (21-12),WAS (20-13),DET (20-14),ORL (19-15),IND (17-16),NYK (17-18),CHI (15-18),BOS (16-20),PHI (15-19),TOR (14-22),MIL (12-21),NJN (12-22),CHA (8-23),ATL (6-26),2005
"Jan 13, 2005",MIA (28-10),CLE (21-13),WAS (20-13),DET (20-14),ORL (19-15),IND (17-16),NYK (17-18),CHI (15-18),BOS (16-20),PHI (15-19),TOR (14-22),MIL (12-21),NJN (12-23),CHA (8-23),ATL (6-26),2005
"Jan 14, 2005",MIA (28-11),CLE (21-13) T2,WAS (21-13) T2,DET (21-14),ORL (19-16),IND (18-16),NYK (17-18),BOS (17-20),PHI (16-19),CHI (15-18),TOR (14-23),MIL (12-22),NJN (12-23),CHA (8-24),ATL (6-27),2005
"Jan 15, 2005",MIA (28-11),CLE (22-13) T2,WAS (22-13) T2,DET (22-14),ORL (20-16),IND (18-17),NYK (17-19),CHI (16-18),BOS (17-20),PHI (16-20),TOR (14-23),MIL (12-23),NJN (12-24),CHA (8-25),ATL (7-27),2005
"Jan 16, 2005",MIA (28-11),WAS (22-13),CLE (22-14) T3,DET (22-14) T3,ORL (20-16),IND (18-17),NYK (17-19),CHI (16-18),BOS (17-20),PHI (16-20),TOR (15-23),MIL (12-23),NJN (12-24),CHA (8-25),ATL (7-27),2005
"Jan 17, 2005",MIA (28-11),DET (23-14),CLE (22-14) T3,WAS (22-14) T3,ORL (20-16),IND (18-17),CHI (17-18),BOS (17-20) T8,NYK (17-20) T8,PHI (17-20) T8,TOR (16-23),MIL (13-23),NJN (13-24),CHA (8-26),ATL (7-28),2005
"Jan 18, 2005",MIA (28-11),CLE (22-14),DET (23-15),WAS (22-15),ORL (21-16),IND (19-17),CHI (17-18),BOS (17-20) T8,NYK (17-20) T8,PHI (17-20) T8,TOR (16-23),MIL (13-23),NJN (13-24),CHA (8-26),ATL (7-28),2005
"Jan 19, 2005",MIA (29-11),CLE (23-14),DET (23-15),WAS (22-15),ORL (21-16),IND (19-18),BOS (18-20) T7,PHI (18-20) T7,CHI (17-19),NYK (17-21),TOR (17-23),NJN (14-24),MIL (13-24),CHA (8-27),ATL (7-29),2005
"Jan 20, 2005",MIA (29-11),CLE (23-15) T2,DET (23-15) T2,WAS (22-15),ORL (21-17),IND (19-18),BOS (18-20) T7,PHI (18-20) T7,CHI (17-19),NYK (17-21),TOR (17-23),NJN (14-24),MIL (13-24),CHA (8-27),ATL (7-29),2005
"Jan 21, 2005",MIA (29-12),CLE (23-15) T2,WAS (23-15) T2,DET (23-16),ORL (21-17),IND (20-18),CHI (18-19),PHI (18-20),BOS (18-21),NYK (17-22),TOR (17-24),NJN (15-24),MIL (14-24),CHA (8-28),ATL (7-30),2005
"Jan 22, 2005",MIA (29-12),CLE (24-15) T2,WAS (24-15) T2,DET (23-17),ORL (22-17),IND (20-19),CHI (19-19),PHI (18-21),BOS (18-22),NYK (17-22),TOR (17-24),NJN (15-24),MIL (14-24),CHA (8-28),ATL (8-30),2005
"Jan 23, 2005",MIA (30-12),CLE (24-15) T2,WAS (24-15) T2,DET (23-17),ORL (22-17),IND (20-19),CHI (19-19),PHI (18-21),BOS (18-22),TOR (18-24),NYK (17-23),MIL (15-24),NJN (15-25),CHA (8-29),ATL (8-30),2005
"Jan 24, 2005",MIA (30-13),WAS (25-15),CLE (24-16),DET (23-18),ORL (22-18),CHI (20-19) T6,IND (20-19) T6,PHI (19-21),BOS (18-22),TOR (18-24),NYK (17-23),MIL (15-24),NJN (15-25),CHA (8-29),ATL (8-31),2005
"Jan 25, 2005",MIA (30-13),WAS (25-15),CLE (24-16),DET (23-18),ORL (22-19),CHI (21-19),IND (20-19),PHI (19-21),BOS (19-22),TOR (18-24),NYK (17-24),MIL (15-24),NJN (15-26),CHA (8-30),ATL (8-31),2005
"Jan 26, 2005",MIA (31-13),WAS (26-15),CLE (25-16),DET (24-18),ORL (22-19),CHI (21-19),IND (20-20),BOS (20-22),PHI (19-22),TOR (18-25),NYK (17-24),NJN (16-26),MIL (15-25),CHA (8-30),ATL (8-32),2005
"Jan 27, 2005",MIA (31-13),WAS (26-15),CLE (25-16),DET (25-18),CHI (22-19) T5,ORL (22-19) T5,IND (20-21),BOS (20-22),PHI (19-22),TOR (18-25),NYK (17-24),NJN (16-26),MIL (15-25),CHA (8-31),ATL (8-32),2005
"Jan 28, 2005",MIA (32-13),WAS (26-16),CLE (25-17),DET (25-18),ORL (23-19),CHI (22-19),IND (20-21),BOS (20-23),PHI (19-23),NYK (18-24),TOR (18-26),NJN (17-26),MIL (15-26),CHA (9-31),ATL (8-33),2005
"Jan 29, 2005",MIA (32-13),WAS (26-17),CLE (25-17),DET (26-18),ORL (24-19),CHI (22-20),BOS (21-23),IND (20-22),PHI (20-23),NYK (18-25),NJN (18-26) T11,TOR (18-26) T11,MIL (15-26),CHA (9-31),ATL (8-34),2005
"Jan 30, 2005",MIA (33-13),CLE (26-17) T2,WAS (26-17) T2,DET (26-18),ORL (24-19),CHI (22-20),BOS (21-23),IND (20-22),PHI (20-23),NYK (18-25),NJN (18-26),TOR (18-27),MIL (15-27),CHA (9-32),ATL (8-34),2005
"Jan 31, 2005",MIA (33-13),CLE (26-17) T2,WAS (26-17) T2,DET (26-18),ORL (24-20),CHI (22-20),PHI (21-23),BOS (21-24),IND (20-23),NJN (18-26) T10,NYK (18-26) T10,TOR (18-27),MIL (15-27),CHA (9-32),ATL (9-34),2005
"Feb 1, 2005",MIA (33-14),DET (27-18),CLE (26-18) T3,WAS (26-18) T3,ORL (25-20),CHI (22-21),PHI (21-23),BOS (21-24),IND (20-23),NJN (19-26),NYK (18-27) T11,TOR (18-27) T11,MIL (16-27),CHA (10-32),ATL (9-34),2005
"Feb 2, 2005",MIA (33-14),DET (28-18),CLE (26-18) T3,WAS (26-18) T3,ORL (25-20),CHI (22-21),BOS (22-24),PHI (21-24),IND (20-24),NJN (19-27) T10,TOR (19-27) T10,NYK (18-27),MIL (16-27),CHA (10-32),ATL (9-35),2005
"Feb 3, 2005",MIA (34-14),DET (28-18),WAS (26-18),CLE (26-19),ORL (25-20),CHI (22-21),BOS (22-24),PHI (21-24),IND (20-24),NJN (19-27) T10,TOR (19-27) T10,NYK (18-27),MIL (16-27),CHA (10-32),ATL (9-35),2005
"Feb 4, 2005",MIA (34-14),DET (28-18),CLE (26-19) T3,WAS (26-19) T3,ORL (25-21),CHI (22-21),BOS (23-24),PHI (22-24),IND (21-24),TOR (20-27),NJN (19-27),NYK (18-28),MIL (17-27),CHA (10-33),ATL (9-36),2005
"Feb 5, 2005",MIA (35-14),DET (28-19),CLE (27-19) T3,WAS (27-19) T3,ORL (25-22),CHI (22-22),BOS (23-24),IND (22-24) T8,PHI (22-24) T8,NJN (20-27) T10,TOR (20-27) T10,NYK (18-29),MIL (17-28),CHA (10-34),ATL (9-37),2005
"Feb 6, 2005",MIA (35-14),DET (28-19),CLE (27-19) T3,WAS (27-19) T3,ORL (25-22),BOS (24-24) T6,CHI (22-22) T6,PHI (23-24),IND (22-24),NJN (20-27),TOR (20-28),NYK (18-29),MIL (17-28),CHA (10-34),ATL (9-37),2005
"Feb 7, 2005",MIA (36-14),DET (28-19) T2,WAS (28-19) T2,CLE (27-19),ORL (25-22),BOS (24-24) T6,CHI (22-22) T6,PHI (23-25),IND (22-25),NJN (21-27),TOR (20-28),NYK (19-29),MIL (17-28),CHA (10-34),ATL (10-37),2005
"Feb 8, 2005",MIA (36-14),CLE (28-19) T2,DET (28-19) T2,WAS (28-19) T2,ORL (25-23),CHI (23-22),BOS (24-25),PHI (23-25),IND (22-25),NJN (21-27),TOR (20-29),NYK (19-29),MIL (18-28),CHA (10-35),ATL (10-37),2005
